learning_rate,batch_size,dropout,weight_decay,num_layers,hidden_size,"f1_t
",f1_Accuracy,f1_AUC,f1_Precision,f1_Recall,f1_Specificity,f1_F1,"j_t
",j_Accuracy,j_AUC,j_Precision,j_Recall,j_Specificity,j_F1,"roc_t
",roc_Accuracy,roc_AUC,roc_Precision,roc_Recall,roc_Specificity,roc_F1
0.0001,4,0.3,0.001,1,128,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.4337518513202667,0.761904776096344,0.4000000059604645,0.0,0.0,0.800000011920929,,0.4337518513202667,0.761904776096344,0.4000000059604645,0.0,0.0,0.800000011920929,
0.0001,4,0.3,0.001,1,256,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.4427694082260132,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.4440189599990845,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294
0.0001,4,0.3,0.001,2,64,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.06438889354467392,0.6666666865348816,0.5874999761581421,0.0714285746216774,0.5,0.675000011920929,0.125,0.06438889354467392,0.6666666865348816,0.5874999761581421,0.0714285746216774,0.5,0.675000011920929,0.125
0.0001,4,0.3,0.001,2,128,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.1171555370092392,0.6190476417541504,0.800000011920929,0.1111111119389534,1.0,0.6000000238418579,0.20000000298023224,0.1174653172492981,0.6904761791229248,0.8374999761581421,0.13333334028720856,1.0,0.675000011920929,0.23529411852359772
0.0001,4,0.3,0.001,2,256,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.06501418352127075,0.7142857313156128,0.612500011920929,0.0833333358168602,0.5,0.7250000238418579,0.1428571492433548,0.06501418352127075,0.7142857313156128,0.612500011920929,0.0833333358168602,0.5,0.7250000238418579,0.1428571492433548
0.0001,4,0.5,0.0001,1,64,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.5352954864501953,0.190476194024086,0.3375000059604645,0.029411764815449715,0.5,0.17499999701976776,0.0555555559694767,0.5352954864501953,0.190476194024086,0.3375000059604645,0.029411764815449715,0.5,0.17499999701976776,0.0555555559694767
0.0001,4,0.5,0.0001,1,128,0.15000000596046448,0.7142857313156128,0.612500011920929,0.0833333358168602,0.5,0.7250000238418579,0.1428571492433548,0.15046288073062897,0.761904776096344,0.637499988079071,0.10000000149011612,0.5,0.7749999761581421,0.1666666716337204,0.15046288073062897,0.761904776096344,0.637499988079071,0.10000000149011612,0.5,0.7749999761581421,0.1666666716337204
0.0001,4,0.5,0.0001,1,256,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.4435313642024994,0.523809552192688,0.512499988079071,0.05000000074505806,0.5,0.5249999761581421,0.09090909361839294,0.4457321763038635,0.6904761791229248,0.36250001192092896,0.0,0.0,0.7250000238418579,
0.0001,4,0.5,0.0001,2,64,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.0663851872086525,0.8333333134651184,0.675000011920929,0.1428571492433548,0.5,0.8500000238418579,0.2222222238779068,0.0663851872086525,0.8333333134651184,0.675000011920929,0.1428571492433548,0.5,0.8500000238418579,0.2222222238779068
0.0001,4,0.5,0.0001,2,128,0.8500000238418579,0.9285714030265808,0.48750001192092896,0.0,0.0,0.9750000238418579,,0.11954521387815475,0.738095223903656,0.862500011920929,0.1538461595773697,1.0,0.7250000238418579,0.2666666805744171,0.11954521387815475,0.738095223903656,0.862500011920929,0.1538461595773697,1.0,0.7250000238418579,0.2666666805744171
