learning_rate,batch_size,dropout,weight_decay,gamma_fl,use_clinical_data,"f1_t
",f1_Accuracy,f1_AUC,f1_Precision,f1_Recall,f1_Specificity,f1_F1,"j_t
",j_Accuracy,j_AUC,j_Precision,j_Recall,j_Specificity,j_F1,"roc_t
",roc_Accuracy,roc_AUC,roc_Precision,roc_Recall,roc_Specificity,roc_F1
1e-05,32,0.5,0.0001,2,True,0.3499999940395355,0.3333333432674408,0.40625,0.0833333358168602,0.5,0.3125,0.1428571492433548,0.35741496086120605,0.5,0.390625,0.0625,0.25,0.53125,0.10000000149011612,0.35741496086120605,0.5,0.390625,0.0625,0.25,0.53125,0.10000000149011612
1e-05,32,0.5,0.0001,2,False,0.3499999940395355,0.8333333134651184,0.46875,0.0,0.0,0.9375,,0.32478877902030945,0.5,0.609375,0.15000000596046448,0.75,0.46875,0.25,0.32478877902030945,0.5,0.609375,0.15000000596046448,0.75,0.46875,0.25
1e-05,32,0.5,0.0001,3,True,0.30000001192092896,0.3888888955116272,0.546875,0.125,0.75,0.34375,0.2142857164144516,0.286130428314209,0.3055555522441864,0.5,0.1111111119389534,0.75,0.25,0.19354838132858276,0.286130428314209,0.3055555522441864,0.5,0.1111111119389534,0.75,0.25,0.19354838132858276
1e-05,32,0.5,0.0001,3,False,0.4000000059604645,0.8611111044883728,0.484375,0.0,0.0,0.96875,,0.32622429728507996,0.4444444477558136,0.578125,0.13636364042758942,0.75,0.40625,0.23076923191547394,0.3333372473716736,0.4722222089767456,0.484375,0.10526315867900848,0.5,0.46875,0.17391304671764374
5e-05,8,0.1,0.001,2,True,0.15000000596046448,0.7222222089767456,0.515625,0.125,0.25,0.78125,0.1666666716337204,0.15094180405139923,0.7222222089767456,0.515625,0.125,0.25,0.78125,0.1666666716337204,0.15094180405139923,0.7222222089767456,0.515625,0.125,0.25,0.78125,0.1666666716337204
5e-05,8,0.1,0.001,2,False,0.25,0.8333333134651184,0.46875,0.0,0.0,0.9375,,0.20482638478279114,0.4444444477558136,0.578125,0.13636364042758942,0.75,0.40625,0.23076923191547394,0.20482638478279114,0.4444444477558136,0.578125,0.13636364042758942,0.75,0.40625,0.23076923191547394
5e-05,8,0.1,0.001,3,True,0.20000000298023224,0.6944444179534912,0.609375,0.1818181872367859,0.5,0.71875,0.2666666805744171,0.21260212361812592,0.8333333134651184,0.6875,0.3333333432674408,0.5,0.875,0.4000000059604645,0.21260212361812592,0.8333333134651184,0.6875,0.3333333432674408,0.5,0.875,0.4000000059604645
5e-05,8,0.1,0.001,3,False,0.25,0.8333333134651184,0.46875,0.0,0.0,0.9375,,0.23116035759449005,0.2777777910232544,0.484375,0.1071428582072258,0.75,0.21875,0.1875,0.23204703629016876,0.5,0.609375,0.15000000596046448,0.75,0.46875,0.25
5e-05,8,0.1,0.0001,2,True,0.15000000596046448,0.3611111044883728,0.421875,0.08695652335882187,0.5,0.34375,0.14814814925193787,0.16062293946743011,0.5277777910232544,0.40625,0.06666667014360428,0.25,0.5625,0.10526315867900848,0.16062293946743011,0.5277777910232544,0.40625,0.06666667014360428,0.25,0.5625,0.10526315867900848
5e-05,8,0.1,0.0001,2,False,0.20000000298023224,0.8333333134651184,0.46875,0.0,0.0,0.9375,,0.16401706635951996,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068,0.16401706635951996,0.4166666567325592,0.5625,0.1304347813129425,0.75,0.375,0.2222222238779068
5e-05,8,0.1,0.0001,3,True,0.20000000298023224,0.75,0.640625,0.2222222238779068,0.5,0.78125,0.3076923191547394,0.22270826995372772,0.8333333134651184,0.46875,0.0,0.0,0.9375,,0.19461871683597565,0.5555555820465088,0.53125,0.125,0.5,0.5625,0.20000000298023224
