learning_rate,batch_size,dropout,weight_decay,gamma_fl,"f1_t
",f1_Accuracy,f1_AUC,f1_Precision,f1_Recall,f1_Specificity,f1_F1,"j_t
",j_Accuracy,j_AUC,j_Precision,j_Recall,j_Specificity,j_F1,"roc_t
",roc_Accuracy,roc_AUC,roc_Precision,roc_Recall,roc_Specificity,roc_F1
0.001,8,0.0,0.0001,3,0.3499999940395355,0.8888888955116272,0.5,,0.0,1.0,,0.14911504089832306,0.8055555820465088,0.5625,0.20000000298023224,0.25,0.875,0.2222222238779068,0.19025704264640808,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408
0.001,8,0.0,0.001,2,0.20000000298023224,0.8333333134651184,0.578125,0.25,0.25,0.90625,0.25,0.21681565046310425,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.21681565046310425,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408
0.001,8,0.0,0.001,3,0.30000001192092896,0.8888888955116272,0.5,,0.0,1.0,,0.23402564227581024,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5,0.24647484719753265,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192
0.001,8,0.0,0.01,2,0.25,0.7777777910232544,0.65625,0.25,0.5,0.8125,0.3333333432674408,0.26375654339790344,0.7777777910232544,0.65625,0.25,0.5,0.8125,0.3333333432674408,0.28913605213165283,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136
0.001,8,0.0,0.01,3,0.3499999940395355,0.8333333134651184,0.6875,0.3333333432674408,0.5,0.875,0.4000000059604645,0.3540208041667938,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136,0.3540208041667938,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136
0.001,8,0.1,0.0001,2,0.10000000149011612,0.6944444179534912,0.828125,0.2666666805744171,1.0,0.65625,0.42105263471603394,0.2309855818748474,0.8611111044883728,0.59375,0.3333333432674408,0.25,0.9375,0.2857142984867096,0.20851735770702362,0.8055555820465088,0.5625,0.20000000298023224,0.25,0.875,0.2222222238779068
0.001,8,0.1,0.0001,3,0.25,0.8888888955116272,0.5,,0.0,1.0,,0.2575976848602295,0.8888888955116272,0.5,,0.0,1.0,,0.2575976848602295,0.8888888955116272,0.5,,0.0,1.0,
0.001,8,0.1,0.001,2,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.1953943967819214,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.16665127873420715,0.8333333134651184,0.578125,0.25,0.25,0.90625,0.25
0.001,8,0.1,0.001,3,0.25,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136,0.2645792067050934,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136,0.2645792067050934,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136
0.001,8,0.1,0.01,2,0.30000001192092896,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136,0.29859426617622375,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136,0.29859426617622375,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136
